# Accepted staleness in the config registry — the BACKLOG, with a reason per row.
#
# Read by `scripts/check-config-registry-staleness.py`. Three TAB-separated
# columns: the registry entry, the `path::symbol` its justification rests on, and
# why that row is accepted for now. The reason column may not be empty.
#
# THIS FILE IS A RATCHET, NOT A SUPPRESSION LIST. The gate fails on a stale row
# that is NOT here (a measurement newly gone stale) AND on a row here that is no
# longer stale (a line that has stopped describing anything). It can fail in both
# directions, which is what stops it becoming a checker that cannot fail.
#
# The right edit is to DELETE a line, having re-taken the measurement and moved
# the entry's `measured_on`. Adding a line is an admission and needs an argument.
#
# WHY IT EXISTS (ADR-2085, 2026-09-15). The gate reported 11 stale rows. Two were
# false positives of its own occurrence filter, one was flagged for its comments
# rather than its subject, and teaching it to notice a REWRITTEN FUNCTION BODY —
# which `git log -G<symbol>` structurally cannot see, because a body does not
# repeat its own name — took the true count to 24 across 14 entries. Clearing 24
# means fourteen corpus measurements. The two ways to go green without them are
# both forbidden by the gate's own rule: move the dates (the rubber stamp this
# check exists to prevent) or delete the `rests_on` entries (the same thing with
# extra steps). So the backlog is written down instead.
#
# Column 3 vocabulary:
#   TRIAGED  — the diff was read line by line; the finding is stated.
#   DETECTED — found by the definition-drift signal on the day it was added and
#              NOT yet triaged. These are honest unknowns, not clean bills.
#
# entry	rests_on	reason
crates/axeyum-rewrite/src/quantifiers.rs::MAX_EXPAND_INSTANCES	crates/axeyum-rewrite/src/quantifiers.rs::expand_counted	DETECTED 2026-09-15 by the definition-drift signal; `expand_counted`'s definition at HEAD is not the one measured. Never triaged, and invisible to the gate before ADR-2085.
crates/axeyum-solver/src/auto.rs::ABV_ONLINE_LADDER_RESERVE_SHARE	crates/axeyum-solver/src/auto.rs::dispatch_abv_online	TRIAGED 2026-09-15. b47972ab9 changed the CALL SITE (`?` -> `rung_or_decline`), not the body; net-of-everything since 2026-09-08 the definition differs by 4 non-comment lines, all inside the `Err(SolverError::Unsupported(..))` arm, which now passes `unsupported_decline(&message)` to `record_declined` instead of a bare `DeclineReason::Unsupported` — telemetry, same control flow. The basis is a TIMEOUT measurement (24.009 s of a 24 s budget, then array-fast-path decides in 0.007-0.174 s); b47972ab9 touches only the Unsupported ERROR path. Not re-measured: needs the 4 QF_ABV files at 24 s each.
crates/axeyum-solver/src/auto.rs::ABV_ONLINE_LADDER_RESERVE_SHARE	crates/axeyum-solver/src/auto.rs::dispatch_array_fast_paths	TRIAGED 2026-09-15. Net-of-everything since 2026-09-08 the definition changed by COMMENT REWORDING ONLY — 40 -> 42 lines, 0 non-comment lines. b47972ab9's change is at the call site, and it makes this route MORE reachable, not less: an `Unsupported` from the online route used to `?`-abort the dispatcher before the fast paths ran. The basis's condition "the array fast paths are still what runs after it" is more true than when measured, not less.
crates/axeyum-solver/src/auto.rs::DEFAULT_INT_LINEAR_PORTFOLIO_WORKERS	crates/axeyum-solver/src/auto.rs::dispatch_int_blast_width_ladder	DETECTED 2026-09-15 by the definition-drift signal. Never triaged.
crates/axeyum-solver/src/auto.rs::UF_ARITH_LADDER_RESERVE_SHARE	crates/axeyum-solver/src/auto.rs::dispatch_uf_arith_online	DETECTED 2026-09-15 by the definition-drift signal. Never triaged.
crates/axeyum-solver/src/auto.rs::UF_ARITH_LADDER_RESERVE_SHARE	crates/axeyum-solver/src/auto.rs::dispatch_uf_arith_overbound	DETECTED 2026-09-15 by the definition-drift signal. Never triaged.
crates/axeyum-solver/src/auto.rs::UF_ARITH_LADDER_RESERVE_SHARE	crates/axeyum-solver/src/euf.rs::try_lazy_arith_for_overbound	DETECTED 2026-09-15 by the definition-drift signal. Never triaged.
crates/axeyum-solver/src/auto.rs::UF_FMF_PROBE_SHARE	crates/axeyum-solver/src/auto.rs::finish_quantified_solve	DETECTED 2026-09-15 by the definition-drift signal. Never triaged.
crates/axeyum-solver/src/auto.rs::UF_FMF_PROBE_SHARE	crates/axeyum-solver/src/uf_fmf.rs::find_uf_finite_model	DETECTED 2026-09-15 by the definition-drift signal. Never triaged.
crates/axeyum-solver/src/dpll_lia.rs::MAX_MODERATE_PRE_SAT_ARITH_ATOMS	crates/axeyum-solver/src/dpll_lia.rs::MAX_MODERATE_PRE_SAT_ARITH_ATOMS	TRIAGED 2026-09-15. a4642ce8d did NOT change the value (10_240 before and after) and did not change the boundary predicate's shape: `atoms > X || cnf_vars > Y` kept its `||`, the base trigger kept its `&&`. It replaced the direct constant reads in `exceeds_pre_sat_skeleton_boundary` with `moderate_pre_sat_envelope()`, which returns the shipped pair unless `AXEYUM_GROUND_DECIDE_PRESAT_ENVELOPE` is a well-formed non-zero pair — fail-closed, pinned by `the_presat_envelope_lever_is_off_unless_spelled_exactly` over unset plus 13 malformed spellings. In the shipped configuration the function is denotationally identical. Not re-measured.
